total_subjects,top_subjects,high_subjects,medium_subjects,other_subjects,total_documents,total_cites,avg_cites_per_paper,subjects_in_top_500_count,university_name,cluster
19,0,10,8,1,28431.0,767382.0,23.820526315789476,10,AUTONOMOUS UNIVERSITY OF MADRID,1
17,1,11,2,3,36602.0,1086470.0,28.191176470588236,12,UNIVERSITY OF GOTHENBURG,1
15,0,6,8,1,15915.0,298240.0,20.46466666666667,6,AUBURN UNIVERSITY SYSTEM,1
15,0,6,6,3,23022.0,618970.0,24.500666666666667,6,VIRGINIA COMMONWEALTH UNIVERSITY,1
18,2,8,7,1,30868.0,830970.0,27.976666666666667,10,UNIVERSITY OF TECHNOLOGY SYDNEY,1
17,0,4,11,2,25295.0,416086.0,16.89058823529412,4,UNIVERSITY OF ZAGREB,1
18,1,9,5,3,23596.0,636130.0,26.155,10,UNIVERSITY OF HAWAII SYSTEM,1
18,0,10,7,1,20959.0,586339.0,25.915555555555553,10,UNIVERSITY OF LIEGE,1
20,7,11,2,0,60330.0,1815188.0,29.651,18,UNIVERSITY OF ZURICH,1
10,3,4,2,1,43991.0,712728.0,16.950999999999997,7,CHINA UNIVERSITY OF MINING & TECHNOLOGY,1
19,4,10,4,1,52191.0,1652466.0,33.59368421052631,14,LEIDEN UNIVERSITY,1
16,0,10,4,2,28636.0,830657.0,27.746875,10,UNIVERSITY OF ROCHESTER,1
14,3,3,6,2,25389.0,583736.0,23.324999999999996,6,HUAZHONG AGRICULTURAL UNIVERSITY,1
17,1,4,11,1,27227.0,502762.0,18.88823529411765,5,CHINA MEDICAL UNIVERSITY TAIWAN,1
20,3,13,3,1,58723.0,1492224.0,22.847,16,UNIVERSITY OF MILAN,1
15,1,6,5,3,48462.0,916232.0,20.65866666666667,7,PEKING UNION MEDICAL COLLEGE,1
21,1,15,3,2,47235.0,1365927.0,27.797619047619047,16,UNIVERSITY OF BERN,1
17,3,7,4,3,39671.0,1100801.0,23.717647058823534,10,CITY UNIVERSITY OF HONG KONG,1
21,2,18,1,0,62258.0,1589899.0,23.701428571428572,20,UNIVERSITY OF PADUA,1
16,1,8,6,1,23353.0,647253.0,24.606874999999995,9,UNIVERSITY OF WOLLONGONG,1
16,0,7,5,4,16440.0,531919.0,30.041874999999997,7,RICE UNIVERSITY,1
17,1,10,5,1,32769.0,622745.0,17.860000000000003,11,CAIRO UNIVERSITY,1
13,6,3,2,2,76900.0,2456100.0,28.457692307692312,9,ASSISTANCE PUBLIQUE HOPITAUX PARIS (APHP),1
14,0,8,4,2,21184.0,572744.0,26.687142857142852,8,HEINRICH HEINE UNIVERSITY DUSSELDORF,1
21,3,17,1,0,70699.0,1634446.0,21.65619047619048,20,SAPIENZA UNIVERSITY ROME,1
19,0,8,11,0,24871.0,661978.0,25.675263157894737,8,UNIVERSITY OF OKLAHOMA SYSTEM,1
14,1,6,6,1,30893.0,549435.0,17.013571428571428,7,YANGZHOU UNIVERSITY,1
18,0,10,8,0,27643.0,761729.0,26.285555555555558,10,QUEENSLAND UNIVERSITY OF TECHNOLOGY (QUT),1
21,0,20,1,0,43286.0,1376643.0,33.48571428571428,20,UNIVERSITY OF SOUTHAMPTON,1
13,2,6,3,2,24782.0,1115854.0,37.747692307692304,8,NIH NATIONAL CANCER INSTITUTE (NCI),1
20,3,11,6,0,49252.0,1238043.0,23.846999999999998,14,UNIVERSITE GRENOBLE ALPES (UGA),1
16,4,5,6,1,60302.0,1200502.0,17.708125,9,CHONGQING UNIVERSITY,1
18,1,9,7,1,23204.0,614163.0,27.83277777777778,10,WASHINGTON STATE UNIVERSITY,1
18,1,11,4,2,27553.0,628066.0,22.95,12,IOWA STATE UNIVERSITY,1
21,2,17,2,0,48859.0,1324122.0,27.645238095238092,19,UNIVERSITY OF ARIZONA,1
22,1,19,2,0,50628.0,1600280.0,31.330000000000005,20,UNIVERSITY OF BIRMINGHAM,1
17,1,7,4,5,31936.0,761214.0,21.302941176470586,8,SOUTHERN UNIVERSITY OF SCIENCE & TECHNOLOGY,1
20,0,8,10,2,26018.0,468222.0,18.88200000000001,8,UNIVERSITY OF LJUBLJANA,1
18,2,9,7,0,28944.0,744242.0,28.68111111111111,11,GRIFFITH UNIVERSITY,1
