iter	Passed	Remaining
1536	14167	59571
1537	14177	59567
1538	14187	59562
1539	14197	59555
1540	14207	59550
1541	14217	59542
1542	14227	59535
1543	14238	59537
1544	14248	59528
1545	14258	59523
1546	14266	59511
1547	14276	59504
1548	14285	59491
1549	14294	59483
1550	14303	59475
1551	14315	59473
1552	14324	59467
1553	14334	59459
1554	14344	59452
1555	14354	59445
1556	14362	59432
1557	14373	59430
1558	14383	59423
1559	14392	59417
1560	14403	59412
1561	14414	59411
1562	14424	59407
1563	14435	59404
1564	14446	59401
1565	14457	59397
1566	14467	59393
1567	14477	59388
1568	14488	59385
1569	14499	59382
1570	14509	59377
1571	14519	59370
1572	14529	59366
1573	14540	59363
1574	14551	59361
1575	14563	59360
1576	14574	59360
1577	14585	59360
1578	14598	59363
1579	14608	59360
1580	14620	59359
1581	14632	59362
1582	14644	59362
1583	14654	59357
1584	14665	59356
1585	14675	59351
1586	14686	59346
1587	14696	59340
1588	14706	59334
1589	14716	59329
1590	14727	59327
1591	14738	59325
1592	14749	59324
1593	14759	59317
1594	14769	59309
1595	14780	59306
1596	14790	59301
1597	14801	59298
1598	14812	59294
1599	14822	59291
1600	14834	59290
1601	14844	59285
1602	14855	59282
1603	14866	59278
1604	14876	59273
1605	14888	59276
1606	14899	59271
1607	14909	59265
1608	14919	59260
1609	14930	59256
1610	14939	59248
1611	14948	59239
1612	14958	59230
1613	14967	59219
1614	14976	59210
1615	14986	59203
1616	14995	59194
1617	15004	59183
1618	15014	59175
1619	15023	59164
1620	15032	59157
1621	15042	59148
1622	15051	59140
1623	15064	59142
1624	15072	59129
1625	15081	59119
1626	15089	59107
1627	15098	59096
1628	15107	59084
1629	15115	59072
1630	15124	59060
1631	15132	59047
1632	15140	59033
1633	15149	59023
1634	15158	59011
1635	15167	59002
1636	15176	58991
1637	15185	58981
1638	15195	58974
1639	15205	58967
1640	15214	58958
1641	15223	58946
1642	15233	58939
1643	15242	58928
1644	15250	58917
1645	15260	58907
1646	15269	58898
1647	15278	58888
1648	15287	58878
1649	15295	58866
1650	15305	58857
1651	15314	58847
1652	15323	58835
1653	15331	58824
1654	15340	58812
1655	15349	58802
1656	15361	58802
1657	15370	58794
1658	15381	58790
1659	15390	58782
1660	15400	58774
1661	15410	58767
1662	15419	58758
1663	15429	58750
1664	15439	58744
1665	15450	58740
1666	15459	58731
1667	15469	58724
1668	15479	58717
